year_month,hotel,country,meal,market_segment,reserved_room_type,booking_id,adult_nights,children_nights,stays_in_weekend_nights,stays_in_week_nights,room_nights,revenue,adr,average_stay
2015-07,City Hotel,BRA,BB,Groups,A,8,15,0,0,8,8,477.0,59.625,1.0
2015-07,City Hotel,BRA,BB,Online TA,A,1,6,0,0,3,3,176.7,58.9,3.0
2015-07,City Hotel,DEU,BB,Offline TA/TO,A,3,41,0,5,12,17,1462.6000000000001,86.03529411764707,5.666666666666667
2015-07,City Hotel,DEU,BB,Online TA,A,1,4,0,0,2,2,111.92,55.96,2.0
2015-07,City Hotel,DEU,BB,Online TA,B,2,6,0,1,4,5,348.5,69.7,2.5
2015-07,City Hotel,ESP,BB,Groups,A,16,70,0,18,18,36,2308.0,64.11111111111111,2.25
2015-07,City Hotel,FRA,BB,Online TA,A,2,20,0,3,7,10,765.0,76.5,5.0
2015-07,City Hotel,GBR,BB,Online TA,A,3,30,10,6,14,20,1313.8,65.69,6.666666666666667
2015-07,City Hotel,ITA,BB,Groups,A,1,8,0,2,2,4,248.0,62.0,4.0
2015-07,City Hotel,ITA,BB,Online TA,A,1,6,0,2,1,3,229.5,76.5,3.0
2015-07,City Hotel,ITA,HB,Groups,A,1,6,0,2,1,3,258.0,86.0,3.0
2015-07,City Hotel,ITA,HB,Offline TA/TO,A,4,21,0,8,4,12,959.25,79.9375,3.0
2015-07,City Hotel,NLD,BB,Online TA,A,1,6,0,1,2,3,229.5,76.5,3.0
2015-07,City Hotel,PRT,BB,Corporate,A,4,7,0,1,6,7,455.0,65.0,1.75
2015-07,City Hotel,PRT,BB,Groups,A,135,664,0,97,235,332,21598.5,65.05572289156626,2.4592592592592593
2015-07,City Hotel,PRT,BB,Offline TA/TO,A,6,31,12,4,11,15,1263.6599999999999,84.24399999999999,2.5
2015-07,City Hotel,PRT,BB,Online TA,A,20,189,13,24,69,93,6430.1,69.14086021505376,4.65
2015-07,City Hotel,PRT,HB,Groups,A,60,192,0,32,73,105,8691.37,82.77495238095239,1.75
2015-07,City Hotel,PRT,HB,Offline TA/TO,A,143,548,0,52,260,312,30487.0,97.71474358974359,2.1818181818181817
2015-07,City Hotel,PRT,HB,Offline TA/TO,B,2,4,0,0,2,2,196.4,98.2,1.0
2015-07,City Hotel,PRT,SC,Online TA,A,4,20,0,3,8,11,619.13,56.28454545454545,2.75
2015-07,City Hotel,ROU,BB,Online TA,A,1,6,3,0,3,3,274.14,91.38,3.0
2015-07,City Hotel,SWE,SC,Online TA,A,1,14,0,2,5,7,326.62,46.660000000000004,7.0
2015-07,Resort Hotel,ALB,BB,Offline TA/TO,A,1,8,0,2,2,4,428.0,107.0,4.0
2015-07,Resort Hotel,ARG,BB,Direct,A,1,6,0,0,2,2,248.0,124.0,2.0
2015-07,Resort Hotel,ARG,BB,Online TA,H,1,2,0,0,1,1,147.0,147.0,1.0
2015-07,Resort Hotel,AUS,BB,Direct,A,1,6,0,1,2,3,294.0,98.0,3.0
2015-07,Resort Hotel,AUS,BB,Online TA,A,1,4,0,1,1,2,235.8,117.9,2.0
2015-07,Resort Hotel,AUT,BB,Online TA,A,2,10,0,0,4,4,345.41999999999996,86.35499999999999,2.0
2015-07,Resort Hotel,AUT,BB,Online TA,G,1,10,10,0,5,5,994.0,198.8,5.0
2015-07,Resort Hotel,BEL,BB,Direct,G,1,2,0,1,0,1,153.0,153.0,1.0
2015-07,Resort Hotel,BEL,BB,Online TA,A,3,22,0,4,7,11,1557.4,141.5818181818182,3.6666666666666665
2015-07,Resort Hotel,BEL,BB,Online TA,E,1,12,0,2,4,6,1021.98,170.33,6.0
2015-07,Resort Hotel,BEL,BB,Online TA,G,1,4,4,2,0,2,386.0,193.0,2.0
2015-07,Resort Hotel,BEL,HB,Online TA,A,1,28,0,4,10,14,2296.0,164.0,14.0
2015-07,Resort Hotel,BEL,HB,Online TA,E,1,36,18,5,13,18,3528.0,196.0,18.0
2015-07,Resort Hotel,BRA,BB,Offline TA/TO,A,3,28,3,4,10,14,1178.45,84.175,4.666666666666667
2015-07,Resort Hotel,BRA,BB,Offline TA/TO,D,2,34,0,4,13,17,1906.5,112.1470588235294,8.5
2015-07,Resort Hotel,BRA,BB,Online TA,A,4,24,4,3,9,12,1689.1,140.75833333333333,3.0
2015-07,Resort Hotel,BRA,BB,Online TA,C,2,12,9,2,4,6,920.97,153.495,3.0
2015-07,Resort Hotel,BRA,BB,Online TA,D,4,20,3,0,10,10,1485.44,148.544,2.5
2015-07,Resort Hotel,BWA,BB,Online TA,A,1,6,3,1,2,3,355.5,118.5,3.0
2015-07,Resort Hotel,CHE,BB,Corporate,A,1,4,0,0,2,2,209.44,104.72,2.0
2015-07,Resort Hotel,CHE,BB,Direct,A,1,4,2,0,2,2,268.0,134.0,2.0
2015-07,Resort Hotel,CHE,BB,Direct,E,1,6,3,1,2,3,459.29999999999995,153.1,3.0
2015-07,Resort Hotel,CHE,BB,Offline TA/TO,A,1,21,0,2,5,7,668.99,95.57000000000001,7.0
2015-07,Resort Hotel,CHE,BB,Offline TA/TO,D,3,52,0,6,20,26,3085.62,118.6776923076923,8.666666666666666
2015-07,Resort Hotel,CHE,BB,Online TA,A,2,16,0,3,5,8,1338.0,167.25,4.0
2015-07,Resort Hotel,CHE,BB,Online TA,D,1,14,0,2,5,7,679.0,97.0,7.0
2015-07,Resort Hotel,CHE,BB,Online TA,E,2,20,0,3,7,10,1450.0,145.0,5.0
2015-07,Resort Hotel,CHE,BB,Online TA,H,1,18,18,4,5,9,1575.0,175.0,9.0
2015-07,Resort Hotel,CHE,HB,Direct,G,3,36,36,4,14,18,3789.0,210.5,6.0
2015-07,Resort Hotel,CHE,HB,Offline TA/TO,A,1,22,0,4,7,11,1243.55,113.05,11.0
2015-07,Resort Hotel,CHN,BB,Online TA,A,1,4,0,0,2,2,306.0,153.0,2.0
2015-07,Resort Hotel,CHN,BB,Online TA,D,2,8,0,0,4,4,692.0,173.0,2.0
2015-07,Resort Hotel,CHN,BB,Online TA,G,1,4,0,0,2,2,390.0,195.0,2.0
2015-07,Resort Hotel,CHN,BB,Online TA,H,1,4,4,0,2,2,496.0,248.0,2.0
2015-07,Resort Hotel,CN,BB,Direct,A,2,6,0,0,3,3,251.9,83.96666666666667,1.5
2015-07,Resort Hotel,CN,BB,Direct,D,1,3,0,2,1,3,285.0,95.0,3.0
2015-07,Resort Hotel,CN,BB,Direct,G,1,8,8,2,2,4,520.2,130.05,4.0
2015-07,Resort Hotel,CN,BB,Offline TA/TO,A,2,16,5,2,6,8,693.6,86.7,4.0
2015-07,Resort Hotel,CN,BB,Offline TA/TO,D,4,59,0,7,17,24,3294.76,137.28166666666667,6.0
2015-07,Resort Hotel,CN,BB,Online TA,A,4,26,0,6,7,13,1563.0,120.23076923076923,3.25
2015-07,Resort Hotel,CN,BB,Online TA,E,1,8,0,0,4,4,616.0,154.0,4.0
2015-07,Resort Hotel,CN,BB,Online TA,G,1,2,2,1,0,1,153.0,153.0,1.0
2015-07,Resort Hotel,CN,HB,Online TA,A,1,16,0,3,5,8,1439.04,179.88,8.0
2015-07,Resort Hotel,CN,HB,Online TA,E,1,8,0,1,3,4,463.4,115.85,4.0
2015-07,Resort Hotel,CN,HB,Online TA,G,1,4,2,0,2,2,374.22,187.11,2.0
2015-07,Resort Hotel,CZE,BB,Online TA,E,1,8,0,2,2,4,492.0,123.0,4.0
2015-07,Resort Hotel,DEU,BB,Direct,E,1,14,0,2,5,7,636.65,90.95,7.0
2015-07,Resort Hotel,DEU,BB,Offline TA/TO,A,1,8,0,2,2,4,442.8,110.7,4.0
2015-07,Resort Hotel,DEU,BB,Online TA,A,4,10,0,4,2,6,657.1,109.51666666666667,1.5
2015-07,Resort Hotel,DEU,BB,Online TA,C,1,6,6,0,3,3,507.0,169.0,3.0
2015-07,Resort Hotel,DEU,HB,Offline TA/TO,A,1,28,0,4,10,14,1582.7,113.05,14.0
2015-07,Resort Hotel,DEU,HB,Offline TA/TO,D,1,22,0,3,8,11,986.48,89.68,11.0
2015-07,Resort Hotel,DEU,HB,Offline TA/TO,E,1,27,0,2,7,9,1855.98,206.22,9.0
2015-07,Resort Hotel,DEU,HB,Online TA,A,2,23,0,2,6,8,1477.7,184.7125,4.0
2015-07,Resort Hotel,DNK,BB,Online TA,A,2,8,0,0,4,4,448.2,112.05,2.0
2015-07,Resort Hotel,DNK,BB,Online TA,C,1,26,0,4,9,13,1376.7,105.9,13.0
2015-07,Resort Hotel,DNK,BB,Online TA,E,2,45,0,4,14,18,2071.7999999999997,115.09999999999998,9.0
2015-07,Resort Hotel,ESP,BB,Direct,A,7,63,0,9,21,30,3603.52,120.11733333333333,4.285714285714286
2015-07,Resort Hotel,ESP,BB,Direct,B,1,4,0,0,2,2,268.0,134.0,2.0
2015-07,Resort Hotel,ESP,BB,Direct,C,2,10,10,1,4,5,859.0,171.8,2.5
2015-07,Resort Hotel,ESP,BB,Direct,D,7,58,0,4,25,29,3969.0,136.86206896551724,4.142857142857143
2015-07,Resort Hotel,ESP,BB,Direct,E,1,2,0,0,1,1,153.0,153.0,1.0
2015-07,Resort Hotel,ESP,BB,Direct,F,4,26,0,3,10,13,1841.0,141.6153846153846,3.25
2015-07,Resort Hotel,ESP,BB,Direct,G,2,16,14,2,6,8,1518.0,189.75,4.0
2015-07,Resort Hotel,ESP,BB,Offline TA/TO,A,21,165,0,21,56,77,7171.16,93.13194805194804,3.6666666666666665
2015-07,Resort Hotel,ESP,BB,Offline TA/TO,D,1,10,0,2,3,5,615.0,123.0,5.0
2015-07,Resort Hotel,ESP,BB,Offline TA/TO,E,1,14,0,2,5,7,688.8000000000001,98.4,7.0
2015-07,Resort Hotel,ESP,BB,Online TA,A,43,230,0,35,80,115,13407.43,116.58634782608696,2.6744186046511627
2015-07,Resort Hotel,ESP,BB,Online TA,D,6,40,0,6,14,20,2686.21,134.3105,3.3333333333333335
2015-07,Resort Hotel,ESP,BB,Online TA,E,9,78,6,11,28,39,5851.74,150.04461538461538,4.333333333333333
